categorias,codigo_categoria,codigo_cliente_fornecedor,codigo_lancamento_integracao,codigo_lancamento_omie,codigo_tipo_documento,data_emissao,data_previsao,data_registro,data_vencimento,distribuicao,id_conta_corrente,id_origem,nCodOS,numero_documento,numero_documento_fiscal,numero_parcela,numero_pedido,operacao,retem_cofins,retem_csll,retem_inss,retem_ir,retem_iss,retem_pis,status_titulo,tipo_agrupamento,valor_cofins,valor_csll,valor_documento,valor_ir,valor_pis,boleto.cGerado,boleto.cNumBancario,boleto.cNumBoleto,boleto.dDtEmBol,boleto.nPerJuros,boleto.nPerMulta,info.cImpAPI,info.dAlt,info.dInc,info.hAlt,info.hInc,info.uAlt,info.uInc,cNumeroContrato,codigo_barras_ficha_compensacao,bloqueado,bloquear_baixa,valor_iss,bloquear_exclusao,codigo_vendedor,Minha Empresa Nome,Minha Empresa CNPJ
"[{'codigo_categoria': '1.05.98', 'percentual': 100, 'valor': 700}]",1.05.98,1802238989,,1802275248,99999,01/08/2022,10/08/2022,01/08/2022,10/08/2022,[],1801365323,VENR,1802239258.0,RPS 1,202200000000245,001/001,1,01,S,S,N,S,N,S,CANCELADO,I,21.0,7.0,700.0,10.5,4.55,N,,,,1,2,N,22/08/2022,01/08/2022,11:01:22,12:20:39,P000424166,P000162940,,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 350}]",1.01.02,1800441485,,1803355841,BOL,02/08/2022,19/08/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803355812.0,RPS 2,202200000000246,001/001,115,01,N,N,N,N,N,N,RECEBIDO,I,,,350.0,,,S,109/00290119-9,290119,02/08/2022,1,2,N,17/08/2022,02/08/2022,09:03:52,18:11:04,P000424166,P000424166,1004,34191.09008 29011.990321 89964.000007 5 90820000035000,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 350}]",1.01.02,1800441493,,1803355919,BOL,02/08/2022,25/08/2022,02/08/2022,15/08/2022,[],1801365323,VENR,1803355854.0,RPS 3,202200000000247,001/001,116,01,N,N,N,N,N,N,RECEBIDO,I,,,350.0,,,S,109/00290120-7,290120,17/08/2022,1,2,N,26/08/2022,02/08/2022,08:56:43,18:11:21,P000424166,P000424166,1021,34191.09008 29012.070321 89964.000007 8 90880000035000,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 350}]",1.01.02,1800441501,,1803356085,BOL,02/08/2022,10/08/2022,02/08/2022,10/08/2022,[],1801365323,VENR,1803355861.0,RPS 4,202200000000248,001/001,117,01,N,N,N,N,N,N,RECEBIDO,I,,,350.0,,,S,109/00290121-5,290121,02/08/2022,1,2,N,11/08/2022,02/08/2022,08:32:23,18:11:36,P000424166,P000424166,1055,34191.09008 29012.150321 89964.000007 1 90730000035000,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.99', 'percentual': 100, 'valor': 800}]",1.01.99,1801298230,,1803356143,BOL,02/08/2022,19/08/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803355868.0,RPS 5,202200000000249,001/001,118,01,S,S,N,S,N,S,CANCELADO,I,24.0,8.0,800.0,12.0,5.2,N,,,,1,2,N,13/09/2022,02/08/2022,10:04:22,18:11:49,P000424166,P000424166,1056,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 350}]",1.01.02,1800441505,,1803356275,BOL,02/08/2022,19/08/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803355878.0,RPS 6,202200000000250,001/001,119,01,N,N,N,N,N,N,RECEBIDO,I,,,350.0,,,S,109/00290123-1,290123,02/08/2022,1,2,N,23/08/2022,02/08/2022,09:15:29,18:12:03,P000424166,P000424166,1061,34191.09008 29012.310321 89964.000007 1 90820000035000,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 350}]",1.01.02,1800441509,,1803356403,BOL,02/08/2022,05/09/2022,02/08/2022,15/08/2022,[],1801365323,VENR,1803355884.0,RPS 7,202200000000251,001/001,120,01,S,S,N,N,N,S,CANCELADO,I,10.5,3.5,350.0,,2.28,N,,,,1,2,N,09/12/2022,02/08/2022,08:39:54,18:12:12,P000424166,P000424166,1062,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 350}]",1.01.02,1801298235,,1803356438,BOL,02/08/2022,10/08/2022,02/08/2022,10/08/2022,[],1801365323,VENR,1803355894.0,RPS 8,202200000000252,001/001,121,01,N,N,N,N,N,N,RECEBIDO,I,,,350.0,,,N,,,,1,2,N,15/08/2022,02/08/2022,15:33:44,18:12:19,P000424166,P000424166,1068,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 450}]",1.01.01,1800441513,,1803356481,BOL,02/08/2022,19/08/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803355900.0,RPS 9,202200000000253,001/001,122,01,S,S,N,N,N,S,RECEBIDO,I,13.5,4.5,450.0,,2.93,S,109/00290126-4,290126,02/08/2022,1,2,N,22/08/2022,02/08/2022,11:02:00,18:12:28,P000424166,P000424166,1069,34191.09008 29012.640321 89964.000007 1 90820000042907,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 845}]",1.01.01,1800441517,,1803356509,BOL,02/08/2022,19/08/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803355906.0,RPS 10,202200000000254,001/001,123,01,S,S,N,S,N,S,CANCELADO,I,25.35,8.45,845.0,12.68,5.49,N,,,,1,2,N,09/12/2022,02/08/2022,08:39:54,18:12:35,P000424166,P000424166,1072,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 350}]",1.01.02,1800441530,,1803356518,BOL,02/08/2022,19/08/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803355923.0,RPS 11,202200000000255,001/001,124,01,N,N,N,N,N,N,CANCELADO,I,,,350.0,,,N,,,,1,2,N,23/11/2022,02/08/2022,09:27:48,18:12:44,P000424166,P000424166,1073,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 455}]",1.01.01,1801298239,,1803356526,BOL,02/08/2022,19/08/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803355930.0,RPS 12,202200000000256,001/001,125,01,N,N,N,N,N,N,RECEBIDO,I,,,455.0,,,S,109/00290129-8,290129,02/08/2022,1,2,N,24/08/2022,02/08/2022,09:29:57,18:12:53,P000424166,P000424166,1082,34191.09008 29012.980321 89964.000007 4 90820000045500,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.98', 'percentual': 100, 'valor': 300}]",1.01.98,1800441534,,1803356536,BOL,02/08/2022,06/09/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803355970.0,RPS 13,202200000000257,001/001,126,01,N,N,N,N,N,N,RECEBIDO,I,,,300.0,,,N,,,,1,2,N,09/09/2022,02/08/2022,08:27:04,18:13:01,P000424166,P000424166,1098,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 350}]",1.01.02,1800441538,,1803356544,BOL,02/08/2022,19/08/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803355996.0,RPS 14,202200000000258,001/001,127,01,N,N,N,N,N,N,CANCELADO,I,,,350.0,,,N,,,,1,2,N,03/01/2023,02/08/2022,16:14:26,18:13:10,P000424166,P000424166,1108,,,,,,,E-contábil,42.974.955/0001-90
