[2025-08-04 18:19:39] [d208589b] [clicksign] [Helpers\BitrixHelper::chamarApi] - [d208589b] Endpoint: crm.item.get | HTTP: 200 | Erro: 
[2025-08-04 18:19:39] [d208589b] [clicksign] [Helpers\BitrixHelper::chamarApi] - [d208589b] Endpoint: crm.item.fields | HTTP: 200 | Erro: 
[2025-08-04 18:19:40] [d208589b] [clicksign] [Helpers\BitrixHelper::chamarApi] - [d208589b] Endpoint: crm.status.list | HTTP: 200 | Erro: 
[2025-08-04 18:19:40] [d208589b] [clicksign] [Helpers\BitrixHelper::chamarApi] - [d208589b] Endpoint: crm.contact.get | HTTP: 200 | Erro: 
[2025-08-04 18:20:23] [d5e61d5c] [clicksign] [Helpers\BitrixHelper::chamarApi] - [d5e61d5c] Endpoint: crm.item.get | HTTP: 200 | Erro: 
[2025-08-04 18:20:24] [d5e61d5c] [clicksign] [Helpers\BitrixHelper::chamarApi] - [d5e61d5c] Endpoint: crm.item.fields | HTTP: 200 | Erro: 
[2025-08-04 18:20:24] [d5e61d5c] [clicksign] [Helpers\BitrixHelper::chamarApi] - [d5e61d5c] Endpoint: crm.status.list | HTTP: 200 | Erro: 
[2025-08-04 18:20:25] [d5e61d5c] [clicksign] [Helpers\BitrixHelper::chamarApi] - [d5e61d5c] Endpoint: crm.contact.get | HTTP: 200 | Erro: 
[2025-08-04 18:20:25] [d5e61d5c] [clicksign] [Helpers\BitrixHelper::chamarApi] - [d5e61d5c] Endpoint: crm.contact.get | HTTP: 200 | Erro: 
[2025-08-04 18:20:25] [d5e61d5c] [clicksign] [Helpers\BitrixHelper::chamarApi] - [d5e61d5c] Endpoint: crm.contact.get | HTTP: 200 | Erro: 
[2025-08-04 18:20:25] [d5e61d5c] [clicksign] [Helpers\BitrixHelper::chamarApi] - [d5e61d5c] Endpoint: crm.contact.get | HTTP: 200 | Erro: 
[2025-08-04 18:20:26] [d5e61d5c] [clicksign] [Helpers\BitrixHelper::chamarApi] - [d5e61d5c] Endpoint: crm.contact.get | HTTP: 200 | Erro: 
[2025-08-04 18:20:42] [d5e61d5c] [clicksign] [Helpers\BitrixHelper::chamarApi] - [d5e61d5c] Endpoint: crm.item.update | HTTP: 200 | Erro: 
[2025-08-04 18:21:41] [e5db9d12] [clicksign] [Helpers\BitrixHelper::chamarApi] - [e5db9d12] Endpoint: crm.item.get | HTTP: 200 | Erro: 
[2025-08-04 18:21:42] [e5db9d12] [clicksign] [Helpers\BitrixHelper::chamarApi] - [e5db9d12] Endpoint: crm.item.fields | HTTP: 200 | Erro: 
[2025-08-04 18:21:42] [e5db9d12] [clicksign] [Helpers\BitrixHelper::chamarApi] - [e5db9d12] Endpoint: crm.status.list | HTTP: 200 | Erro: 
[2025-08-04 18:21:43] [e5db9d12] [clicksign] [Helpers\BitrixHelper::chamarApi] - [e5db9d12] Endpoint: crm.contact.get | HTTP: 200 | Erro: 
[2025-08-04 18:21:43] [e5db9d12] [clicksign] [Helpers\BitrixHelper::chamarApi] - [e5db9d12] Endpoint: crm.contact.get | HTTP: 200 | Erro: 
[2025-08-04 18:21:43] [e5db9d12] [clicksign] [Helpers\BitrixHelper::chamarApi] - [e5db9d12] Endpoint: crm.contact.get | HTTP: 200 | Erro: 
[2025-08-04 18:21:55] [e5db9d12] [clicksign] [Helpers\BitrixHelper::chamarApi] - [e5db9d12] Endpoint: crm.item.update | HTTP: 200 | Erro: 
